"move_id","event_date","effective_date","move_type","player_id","from_team_id","to_team_id","move_scope","contract_aav","contract_total","contract_years","transaction_detail","source","nfl_season","season_phase","phase_week","nfl_week","season_anomaly","ingested_at"
"ofs_2017_01_00013","2017-09-07","2017-09-07","trade","PeteAd01","NO","ARI","cross_division","14000000","42000000","3","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00014","2017-09-07","2017-09-07","free_agency","name:alex-boone:g","MIN","ARI","cross_division","900000","900000","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2017","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00015","2017-09-07","2017-09-07","free_agency","name:andy-lee:p","CAR","ARI","cross_division","1862500","3725000","2","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2017","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00016","2017-09-07","2017-09-07","free_agency","name:antoine-bethea:fs","SF","ARI","same_division","4250000","12750000","3","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2017","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00017","2017-09-07","2017-09-07","free_agency","name:blaine-gabbert:qb","SF","ARI","same_division","895000","895000","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2017","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00018","2017-09-07","2017-09-07","trade","BakeBu00","CHI","ARI","cross_division","1707493","6829970","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00019","2017-09-07","2017-09-07","trade","WillCh05","CAR","ARI","cross_division","794072","3176288","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00020","2017-09-07","2017-09-07","trade","JohnDo03","CAR","ARI","cross_division","764097","3056388","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00021","2017-09-07","2017-09-07","free_agency","name:gerald-christian:te","BUF","ARI","cross_conference","540000","540000","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2017","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00022","2017-09-07","2017-09-07","free_agency","name:jarvis-jones:olb","PIT","ARI","cross_conference","2250000","2250000","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2017","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00023","2017-09-07","2017-09-07","free_agency","name:jim-dray:te","SF","ARI","same_division","900000","900000","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2017","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00024","2017-09-07","2017-09-07","free_agency","name:josh-bynes:ilb","DET","ARI","cross_division","775000","775000","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2017","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00025","2017-09-07","2017-09-07","free_agency","name:jumal-rolle:cb","BAL","ARI","cross_conference","615000","615000","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2017","2017","regular","1","1","","2026-05-18T15:20:34Z"
"ofs_2017_01_00026","2017-09-07","2017-09-07","free_agency","name:phil-dawson:k","SF","ARI","same_division","3000000","6000000","2","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2017","2017","regular","1","1","","2026-05-18T15:20:34Z"
