team_id,nfl_season,nfl_week,games_played,wins,losses,ties,win_pct,point_diff_per_game,offensive_epa_per_play,aggregated_at
ARI,2026,1,1,4,0,0,0.2647,-6.1875,-0.0413,2026-04-06T19:21:59Z
ATL,2026,1,1,8,0,0,0.4412,-1.6875,-0.0112,2026-04-06T19:21:59Z
BAL,2026,1,1,12,0,0,0.6765,4.3125,0.0288,2026-04-06T19:21:59Z
BUF,2026,1,1,10,0,0,0.6176,2.8125,0.0187,2026-04-06T19:21:59Z
CAR,2026,1,1,8,0,0,0.4412,-1.6875,-0.0112,2026-04-06T19:21:59Z
CHI,2026,1,1,10,0,0,0.5588,1.3125,0.0088,2026-04-06T19:21:59Z
CIN,2026,1,1,10,0,0,0.5588,1.3125,0.0088,2026-04-06T19:21:59Z
CLE,2026,1,1,6,0,0,0.3824,-3.1875,-0.0213,2026-04-06T19:21:59Z
DAL,2026,1,1,8,0,0,0.5000,-0.1875,-0.0013,2026-04-06T19:21:59Z
DEN,2026,1,1,10,0,0,0.5588,1.3125,0.0088,2026-04-06T19:21:59Z
DET,2026,1,1,10,0,0,0.6176,2.8125,0.0187,2026-04-06T19:21:59Z
GB,2026,1,1,10,0,0,0.6176,2.8125,0.0187,2026-04-06T19:21:59Z
HOU,2026,1,1,10,0,0,0.5588,1.3125,0.0088,2026-04-06T19:21:59Z
IND,2026,1,1,8,0,0,0.4412,-1.6875,-0.0112,2026-04-06T19:21:59Z
JAX,2026,1,1,10,0,0,0.5588,1.3125,0.0088,2026-04-06T19:21:59Z
KC,2026,1,1,10,0,0,0.6176,2.8125,0.0187,2026-04-06T19:21:59Z
LAC,2026,1,1,10,0,0,0.6176,2.8125,0.0187,2026-04-06T19:21:59Z
LAR,2026,1,1,12,0,0,0.6765,4.3125,0.0288,2026-04-06T19:21:59Z
LV,2026,1,1,6,0,0,0.3235,-4.6875,-0.0312,2026-04-06T19:21:59Z
MIA,2026,1,1,4,0,0,0.2647,-6.1875,-0.0413,2026-04-06T19:21:59Z
MIN,2026,1,1,8,0,0,0.5000,-0.1875,-0.0013,2026-04-06T19:21:59Z
NE,2026,1,1,10,0,0,0.5588,1.3125,0.0088,2026-04-06T19:21:59Z
NO,2026,1,1,8,0,0,0.4412,-1.6875,-0.0112,2026-04-06T19:21:59Z
NYG,2026,1,1,8,0,0,0.4412,-1.6875,-0.0112,2026-04-06T19:21:59Z
NYJ,2026,1,1,6,0,0,0.3235,-4.6875,-0.0312,2026-04-06T19:21:59Z
PHI,2026,1,1,10,0,0,0.6176,2.8125,0.0187,2026-04-06T19:21:59Z
PIT,2026,1,1,8,0,0,0.5000,-0.1875,-0.0013,2026-04-06T19:21:59Z
SEA,2026,1,1,10,0,0,0.6176,2.8125,0.0187,2026-04-06T19:21:59Z
SF,2026,1,1,10,0,0,0.6176,2.8125,0.0187,2026-04-06T19:21:59Z
TB,2026,1,1,8,0,0,0.5000,-0.1875,-0.0013,2026-04-06T19:21:59Z
TEN,2026,1,1,6,0,0,0.3824,-3.1875,-0.0213,2026-04-06T19:21:59Z
WAS,2026,1,1,8,0,0,0.4412,-1.6875,-0.0112,2026-04-06T19:21:59Z
