"move_id","event_date","effective_date","move_type","player_id","from_team_id","to_team_id","contract_aav","contract_total","contract_years","transaction_detail","source","nfl_season","season_phase","phase_week","nfl_week","ingested_at"
"ofs_2022_01_00005","2022-09-08","2022-09-08","trade","FordCo00","BUF","ARI","1876868","7507470","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00006","2022-09-08","2022-09-08","trade","BrowMa04","BAL","ARI","2946835","11787340","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00007","2022-09-08","2022-09-08","trade","SandMy00","BAL","ARI","1261226","5044904","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00008","2022-09-08","2022-09-08","trade","AndeRo04","CAR","ARI","","","","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00009","2022-09-08","2022-09-08","trade","MullTr00","LV","ARI","1814787","7259146","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00010","2022-09-08","2022-09-08","trade","EdwaBr01","LV","ATL","1156645","4626578","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00011","2022-09-08","2022-09-08","trade","FentRa00","KC","ATL","675580","2702320","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00012","2022-09-08","2022-09-08","trade","ElamKa00","ARI","BAL","3422703","13690812","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00013","2022-09-08","2022-09-08","trade","SmitRo07","CHI","BAL","","","","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00014","2022-09-08","2022-09-08","trade","LindTy00","BUF","BAL","3724345","14897380","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00015","2022-09-08","2022-09-08","trade","TaylCa01","TB","BUF","1488183","5952730","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00016","2022-09-08","2022-09-08","trade","KeenCa00","CLE","BUF","6000000","18000000","3","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00017","2022-09-08","2022-09-08","trade","MarlDe00","ATL","BUF","1187500","1187500","1","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00018","2022-09-08","2022-09-08","trade","CookJa01","CIN","BUF","1458016","5832064","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
"ofs_2022_01_00019","2022-09-08","2022-09-08","trade","ElamKa00","BAL","BUF","3422703","13690812","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2022","regular","1","1","2026-05-05T20:18:21Z"
