team,wins,losses,ties,win_pct,point_diff_per_game,games_played,source,win_total,provider,captured_at
ARI,8,6,0,0.5714,4.5714,14,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-08T18:33:00Z
ATL,4,12,0,0.2500,-1.1250,16,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-08T18:33:00Z
BAL,11,5,0,0.6875,10.3125,16,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:33:00Z
BUF,12,3,0,0.8000,8.2000,15,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-08T18:33:00Z
CAR,5,11,0,0.3125,-3.2500,16,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:33:00Z
CHI,8,7,0,0.5333,1.0667,15,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-08T18:33:00Z
CIN,4,11,1,0.2812,-7.0625,16,nflverse_games_actual,4.5,nflverse_games_actual,2026-05-08T18:33:00Z
CLE,11,5,0,0.6875,-0.6875,16,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:33:00Z
DAL,6,9,0,0.4000,-5.0000,15,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-08T18:33:00Z
DEN,5,11,0,0.3125,-7.6875,16,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:33:00Z
DET,5,11,0,0.3125,-8.8750,16,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:33:00Z
GB,13,3,0,0.8125,8.7500,16,nflverse_games_actual,13.0,nflverse_games_actual,2026-05-08T18:33:00Z
HOU,4,12,0,0.2500,-5.0000,16,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-08T18:33:00Z
IND,11,5,0,0.6875,5.5625,16,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:33:00Z
JAX,1,15,0,0.0625,-11.6250,16,nflverse_games_actual,1.0,nflverse_games_actual,2026-05-08T18:33:00Z
KC,14,2,0,0.8750,6.9375,16,nflverse_games_actual,14.0,nflverse_games_actual,2026-05-08T18:33:00Z
LV,8,8,0,0.5000,-2.7500,16,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-08T18:33:00Z
LAC,7,9,0,0.4375,-2.6250,16,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:33:00Z
LAR,0,0,0,0.0000,0.0000,0,nflverse_games_actual,0.0,nflverse_games_actual,2026-05-08T18:33:00Z
MIA,9,6,0,0.6000,3.6667,15,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-08T18:33:00Z
MIN,7,9,0,0.4375,-2.8125,16,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:33:00Z
NE,7,8,0,0.4667,-0.4000,15,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:33:00Z
NO,12,4,0,0.7500,9.0625,16,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-08T18:33:00Z
NYG,6,9,0,0.4000,-4.6000,15,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-08T18:33:00Z
NYJ,1,14,0,0.0667,-14.4667,15,nflverse_games_actual,1.0,nflverse_games_actual,2026-05-08T18:33:00Z
PHI,4,10,1,0.3000,-4.4000,15,nflverse_games_actual,4.5,nflverse_games_actual,2026-05-08T18:33:00Z
PIT,12,4,0,0.7500,6.5000,16,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-08T18:33:00Z
SEA,11,3,0,0.7857,6.0000,14,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:33:00Z
SF,4,10,0,0.2857,-1.7857,14,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-08T18:33:00Z
TB,11,4,0,0.7333,9.3333,15,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:33:00Z
TEN,11,5,0,0.6875,3.2500,16,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:33:00Z
WAS,7,8,0,0.4667,1.7333,15,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:33:00Z
