"move_id","event_date","effective_date","move_type","player_id","from_team_id","to_team_id","move_scope","contract_aav","contract_total","contract_years","transaction_detail","source","nfl_season","season_phase","phase_week","nfl_week","season_anomaly","ingested_at"
"ofs_2021_01_00011","2021-09-09","2021-09-09","trade","name:a-j-green:wr","CIN","ARI","cross_conference","6000000","6000000","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00012","2021-09-09","2021-09-09","free_agency","name:a-j-richardson:wr","ARI","ARI","same_division","142800","","","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00013","2021-09-09","2021-09-09","free_agency","name:aleva-hifo:wr","ARI","ARI","same_division","0","","","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00014","2021-09-09","2021-09-09","free_agency","name:andre-baccellia:wr","ARI","ARI","same_division","0","","","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00015","2021-09-09","2021-09-09","trade","name:antoine-wesley:wr","BAL","ARI","cross_conference","780000","780000","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00016","2021-09-09","2021-09-09","free_agency","name:bernhard-seikovits:te","ARI","ARI","same_division","0","","","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00017","2021-09-09","2021-09-09","free_agency","name:branden-bowen:t","ARI","ARI","same_division","0","","","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00018","2021-09-09","2021-09-09","trade","name:brian-winters:g","BUF","ARI","cross_conference","1212500","1212500","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00019","2021-09-09","2021-09-09","free_agency","name:bruno-labelle:te","ARI","ARI","same_division","0","","","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00020","2021-09-09","2021-09-09","free_agency","name:bryson-young:lb","ARI","ARI","same_division","0","","","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00021","2021-09-09","2021-09-09","free_agency","name:cam-murray:dt","ARI","ARI","same_division","0","","","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00022","2021-09-09","2021-09-09","free_agency","name:charles-washington:s","ARI","ARI","same_division","1127500","1127500","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00023","2021-09-09","2021-09-09","free_agency","name:chris-banjo:s","ARI","ARI","same_division","1212500","1212500","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00024","2021-09-09","2021-09-09","trade","name:colt-mccoy:qb","NYG","ARI","cross_division","1212500","1212500","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00025","2021-09-09","2021-09-09","free_agency","name:corey-peters:dt","ARI","ARI","same_division","1127500","1127500","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00026","2021-09-09","2021-09-09","free_agency","name:darius-kilgo:dt","ARI","ARI","same_division","109200","","","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00027","2021-09-09","2021-09-09","trade","name:darqueze-dennard:cb","ATL","ARI","cross_division","1075000","1075000","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00028","2021-09-09","2021-09-09","free_agency","name:darrell-daniels:te","ARI","ARI","same_division","1127500","1127500","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00029","2021-09-09","2021-09-09","trade","name:daryl-worley:cb","LV","ARI","cross_conference","990000","990000","1","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00030","2021-09-09","2021-09-09","free_agency","name:david-parry:dt","ARI","ARI","same_division","0","","","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
"ofs_2021_01_00031","2021-09-09","2021-09-09","free_agency","name:david-wells:te","ARI","ARI","same_division","0","","","inferred_from_players_metadata","https://www.spotrac.com/nfl/free-agents/signed/_/year/2021","2021","regular","1","1","","2026-05-15T16:25:25Z"
